index,lat,lon,x,y,prob,prediction,shape
49,26.2364634351,88.3594812651,27,158,0.536642849445,zigzag,fck
50,22.9823714602,91.3904326298,117,54,1.0,zigzag,zigzag
51,22.6413267096,88.9775848373,51,168,0.408846348524,fck,fck
52,23.45575578,90.9714930383,219,159,0.998040854931,zigzag,zigzag
53,24.2941789338,91.537767136,32,198,0.335289895535,fck,fck
54,23.0407729918,89.250857489,94,55,0.619987607002,zigzag,fck
55,25.4746061011,89.5852170651,81,220,0.896097123623,zigzag,zigzag
56,24.2478344921,89.0933949589,146,205,0.53896009922,zigzag,fck
57,23.467087441,90.9746932966,107,196,0.997871756554,zigzag,zigzag
58,24.3066950746,91.5163585096,32,244,0.999990820885,zigzag,zigzag
59,24.8841976872,89.9614497574,200,216,0.526227295399,zigzag,fck
60,22.9158855301,90.5210167987,408,380,0.252380520105,fck,fck
61,23.9174960357,90.586566924,88,126,0.964590191841,zigzag,zigzag
62,23.5902332969,88.6898926326,129,1,0.500084638596,zigzag,None
63,24.7315732332,90.3720882931,26,330,0.545789122581,zigzag,fck
64,24.7964844685,89.2224597912,20,203,0.523651659489,zigzag,fck
65,22.9414608818,92.2512531267,157,147,0.334586858749,fck,fck
66,22.982248326,89.4480351038,128,8,0.520089566708,zigzag,zigzag
67,24.5036702374,92.0477853491,87,129,0.725401461124,zigzag,zigzag
68,24.8810838987,89.9655696315,33,104,0.205253601074,fck,fck
69,25.7687922087,88.8411508266,127,241,1.0,zigzag,zigzag
70,23.8034513052,90.3210803361,403,874,0.511342227459,zigzag,fck
71,23.9580753967,90.0924396501,51,147,0.532624900341,zigzag,zigzag
72,23.304132608,91.1303533815,26,123,1.0,zigzag,zigzag
73,22.97834412,88.921169553,25,47,0.641952037811,zigzag,zigzag
74,23.4370304448,91.1508423941,91,2,0.881188809872,zigzag,zigzag
75,22.6867570305,89.1026033669,68,60,1.09144584712e-05,fck,fck
76,23.1366142107,91.1226286192,109,165,0.860941827297,zigzag,None
77,24.6810544896,90.4404340464,81,80,7.98174005467e-06,fck,fck
78,25.3051748491,89.5436014431,144,186,0.999999880791,zigzag,zigzag
79,23.6219384692,89.8489502457,669,449,0.563899695873,zigzag,zigzag
80,24.0148420365,89.0867859946,584,338,0.188603892922,fck,fck
81,24.9001087348,91.0389436989,114,60,0.991797685623,zigzag,zigzag
82,23.1209668992,88.9723491652,153,189,0.928860127926,zigzag,zigzag
83,23.6037796061,90.4647241275,1392,493,0.528926134109,zigzag,fck
84,25.6779792009,88.6616175501,61,159,0.04593571648,fck,fck
85,22.5546429462,92.0043304973,93,169,2.98533393561e-08,fck,fck
86,24.7096778389,89.5221437706,199,228,0.891502797604,zigzag,zigzag
87,25.6810267658,88.6629050115,231,40,0.202516898513,fck,fck
88,25.0648128581,89.0029784591,79,223,0.6495038867,zigzag,fck
89,22.8934515419,90.9972912922,152,23,0.997394442558,zigzag,zigzag
90,22.7124534695,90.3952748417,36,205,0.719584345818,zigzag,fck
91,23.1709115667,90.1870863736,429,474,0.986787438393,zigzag,zigzag
92,25.9922990572,89.2196151171,28,195,0.999669551849,zigzag,zigzag
93,22.7277437093,91.7719009942,28,29,0.000650347734336,fck,fck
94,22.1188817196,90.7909788384,213,221,0.588342487812,zigzag,None
95,23.9211964729,90.1480334128,206,201,0.644629120827,zigzag,zigzag
96,23.9380839201,90.6146090356,43,173,0.556650519371,zigzag,fck
97,24.6130715604,89.0030275073,133,3,0.492882847786,fck,zigzag
98,24.8660211841,88.8658578034,43,240,0.983149468899,zigzag,zigzag
99,24.0001119502,90.0762544344,331,171,0.540564596653,zigzag,zigzag
100,23.5633367533,90.476286751,283,92,0.989847838879,zigzag,zigzag
101,23.8893677853,90.3352669286,582,239,0.484420001507,fck,zigzag
102,25.0498284822,90.012948171,84,160,0.999865293503,zigzag,zigzag
103,24.7573434861,90.6039169838,175,197,0.999999284744,zigzag,zigzag
104,25.0300554411,89.3127536758,72,175,0.319826424122,fck,fck
105,22.015160692,92.0469760889,156,63,2.28199141361e-07,fck,fck
106,24.1098477378,91.2305055346,162,3,0.810784101486,zigzag,zigzag
107,24.4532287247,88.6999348218,127,148,0.809716999531,zigzag,zigzag
108,23.6520915862,90.4691873261,223,185,0.0307888425887,fck,fck
109,23.7210420291,89.6465614858,130,71,0.999999046326,zigzag,zigzag
110,25.872580228,88.3668259204,573,85,0.577879726887,zigzag,zigzag
111,24.9933137012,89.3690708699,19,64,0.471038073301,fck,zigzag
112,24.5588083167,89.9889891468,72,222,0.46924507618,fck,None
113,25.4125235344,89.0956020341,88,161,0.998372375965,zigzag,zigzag
114,22.9544202454,91.1744580937,129,136,0.999961733818,zigzag,zigzag
